No.;Time;Comment;Scramble;Date;P.1
1;7.32;;U' B U' R' L R' B L' l b' u';2023-02-12 17:35:14;7.32
2;8.36;;R B' L' U L' B U' R' B' r b u';2023-02-12 17:35:43;8.36
3;6.04;;R U L B' U' B L R' L' l' r u;2023-02-12 17:36:16;6.04
4;3.93;;U R U' R L B R' B' l r u;2023-02-12 17:36:46;3.93
5;8.20;;R L B L' U' R L U' r u;2023-02-12 17:37:11;8.20
6;8.64;;B L' B R' L B' L' R' B' l r b' u;2023-02-12 17:37:51;8.64
7;4.37;;B L U L R U' L B R' l;2023-02-12 17:38:22;4.37
8;6.33;;R' L' B' U' L' U' R U u;2023-02-12 17:38:53;6.33
9;4.73;;L' R' U' R' U' B U B' l';2023-02-12 17:39:37;4.73
10;8.82;;U L B U L B' U R l' r b u';2023-02-12 17:40:04;8.82
11;6.60;;B' U' R' L U R L U' R' l r b';2023-02-12 17:41:22;6.60
12;6.62;;B' R' B R' U B L B' r' u;2023-02-12 17:42:07;6.62
13;4.67;;R' U' B' L' U R' B' R' L' l' r' u;2023-02-12 17:43:31;4.67
14;7.83;;U' B' U' R' B U' L R' r b' u';2023-02-12 17:44:01;7.83
15;6.60;;L' R U' B' L R L' U l' b' u';2023-02-12 17:44:33;6.60
16;5.52;;R B U R B U' R U R' r' u;2023-03-31 21:57:13;5.52
17;7.76;;B R L R B R U' L' l' r b' u';2023-04-02 23:08:27;7.76
18;6.06;;R' B L' R L B' R U l r b;2023-04-02 23:08:54;6.06
19;7.49;;U R B L B' U' B' L' l' r b;2023-04-02 23:09:18;7.49
20;5.35;;R L' R' B R U R' L' l' r b u';2023-04-02 23:09:49;5.35
21;4.01;;U R' L R U R' U' L' b u;2023-04-02 23:10:52;4.01
22;6.42;;R B' U' B' U' R U' R' r b u';2023-04-02 23:11:29;6.42
23;9.50;;B U R' L B L R B' U' l r' b u';2023-04-02 23:12:19;9.50
24;4.40;;B' L' B' R' L R L U' l r b;2023-04-02 23:12:48;4.40
25;5.15;;R B R B U R' B U' r u';2023-04-02 23:13:11;5.15
26;6.20;;U B L' B L B R L' l' r b u;2023-04-02 23:13:41;6.20
27;8.24;;B R U L' B L' U B' u;2023-04-02 23:14:05;8.24
28;4.71;;U' L U' R L U' B' U l' b u;2023-04-14 23:25:35;4.71
29;8.49+;;U R U L' B L B L' l r' b' u';2023-04-14 23:25:56;6.49
30;10.48;;L B' L B U' L U' R' l' r' b u';2023-07-23 22:07:30;10.48
31;5.29;;R' B R L R L' R L' l' u;2023-07-23 22:08:03;5.29
32;6.18;;U' B' U' B' L' U R' L l r' u;2023-07-23 22:09:26;6.18
33;10.10+;;R' U B L' B R L U l' r b' u';2023-07-23 22:09:52;8.10
34;6.99;;U B' L' U B' L U B R' r b u';2023-07-23 22:10:18;6.99
35;4.09;;R B R' B' U B' U L' b';2023-07-23 22:10:39;4.09
36;12.66;;U B L U' R L U B' r' b;2023-07-23 22:11:02;12.66
37;5.77;;R' B' L U' L R U B u';2023-07-23 22:11:27;5.77
38;7.13+;;B' L U' L' R' L B L' l b' u;2023-07-23 22:11:47;5.13
39;8.56;;R' U L' R B L' B' R U' l r b u;2023-07-23 22:12:09;8.56
40;6.36;;B' R' U' B' L R L' U l' b';2023-07-23 22:12:53;6.36
41;3.35;;R' U' B' U' B R U' R' r';2023-07-23 22:13:53;3.35
42;7.85;;R' U L' U B' L' R U' L' l r b u;2023-07-23 22:15:06;7.85
43;9.35;;B L R' B L' B' L' R r b u;2023-07-23 22:15:42;9.35
44;6.98;;L' U' R' B R' U' B' U l r' b u;2023-07-23 22:16:03;6.98
45;6.34;;L' U B' U' L' R' U R l' r';2023-07-23 23:41:57;6.34
46;11.27;;L' B' R' B' L' U' B' R' l' b u;2023-07-24 11:12:42;11.27
47;6.30;;L' R B L U R' B' U r u;2023-07-24 11:13:31;6.30
48;12.02;;B' U B L U' B' U L b;2023-07-24 11:13:51;12.02
